Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1974","1974","tonnes","17530811","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1975","1975","tonnes","17577400","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1976","1976","tonnes","18417371","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1977","1977","tonnes","18930911","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1978","1978","tonnes","19565590","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1979","1979","tonnes","20350992","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1980","1980","tonnes","20867397","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1981","1981","tonnes","21547159","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1982","1982","tonnes","21920847","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1983","1983","tonnes","22809184","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1984","1984","tonnes","25542620","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1985","1985","tonnes","25677400","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1986","1986","tonnes","28043367","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1987","1987","tonnes","27579834","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1988","1988","tonnes","24846839","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1989","1989","tonnes","26821545","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1990","1990","tonnes","28532097","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1991","1991","tonnes","29291546","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1992","1992","tonnes","31669340","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1993","1993","tonnes","35501650","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1994","1994","tonnes","37859943","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1995","1995","tonnes","37017295","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1996","1996","tonnes","39020392","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1997","1997","tonnes","42498537","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1998","1998","tonnes","45602866","E","Estimated value"
